Cereal,Manufacturer,Type,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugars,Shelf,Potassium,Vitamins,Weight,Cups,PCA1,PCA2,Cluster
Apple Cinnamon Cheerios,G,C,110,2,2,180,1.5,10.5,10,1,70,25,1.0,0.75,-0.29909924417974815,-1.174956780612214,1
Basic 4,G,C,130,3,2,210,2.0,18.0,8,3,100,25,1.33,0.75,-0.3775832571786196,-1.2853679008821723,2
Cheerios,G,C,110,6,2,290,2.0,17.0,1,1,105,25,1.0,1.25,1.154164381506966,-0.12173148980284249,2
Cinnamon Toast Crunch,G,C,120,1,3,210,0.0,13.0,9,2,45,25,1.0,0.75,-1.4678740869332954,-1.7391001933028094,1
Clusters,G,C,110,3,2,140,2.0,13.0,7,3,105,25,1.0,0.5,0.44326672632913844,-0.7100727899742313,0
Cocoa Puffs,G,C,110,1,1,180,0.0,12.0,13,2,55,25,1.0,1.0,-1.4644806997189135,-0.8861142810883117,1
Count Chocula,G,C,110,1,1,180,0.0,12.0,13,2,65,25,1.0,1.0,-1.3875415567755787,-0.9070740789177946,1
Crispy Wheat & Raisins,G,C,100,2,1,140,2.0,11.0,10,3,120,25,1.0,0.75,0.24854045122492213,-0.3509094010930926,1
Golden Grahams,G,C,110,1,1,280,0.0,15.0,9,2,45,25,1.0,0.75,-1.8699415934482848,-0.3942394816449362,1
Honey Nut Cheerios,G,C,110,3,1,250,1.5,11.5,10,1,90,25,1.0,0.75,-0.08343766885224932,-0.7830340706885693,1
Kix,G,C,110,2,1,260,0.0,21.0,3,2,40,25,1.0,1.5,-1.787266021686354,0.6606771845381596,2
Lucky Charms,G,C,110,2,1,180,0.0,12.0,12,2,55,25,1.0,1.0,-1.0485793610689012,-0.7931001919920837,1
Multi-Grain Cheerios,G,C,100,2,1,220,2.0,15.0,6,1,90,25,1.0,1.0,-0.34936191307986064,0.26694880476487465,2
Oatmeal Raisin Crisp,G,C,130,3,2,170,1.5,13.5,10,3,120,25,1.25,0.5,0.03943955686729132,-1.732281889651814,0
Raisin Nut Bran,G,C,100,3,2,140,2.5,10.5,8,3,140,25,1.0,0.5,1.1091634863416757,-0.7333563643139289,0
Total Corn Flakes,G,C,110,2,1,200,0.0,21.0,3,3,35,100,1.0,1.0,-1.7041376979885403,0.7753382946256617,2
Total Raisin Bran,G,C,140,3,1,190,4.0,15.0,14,3,230,100,1.5,1.0,0.9919615590375804,-2.155504288494808,0
Total Whole Grain,G,C,100,3,1,200,3.0,16.0,3,3,110,100,1.0,1.0,0.4738439165166217,0.6587034472232555,2
Triples,G,C,110,2,1,250,0.0,21.0,3,3,60,25,1.0,0.75,-1.613121419938105,0.6361211240746542,2
Trix,G,C,110,1,1,140,0.0,13.0,12,2,25,25,1.0,1.0,-1.66547146724813,-0.5803089733347229,1
